"d1_code"	"d2_code"	"d1_name"	"d2_name"	"direction_yes_no"	"n_dir12"	"n_dir21"	"n_total"
"Q17"	"G44"	"Other congenital malformations of ear"	"Other headache syndromes"	1	120	9	129
"H25"	"C92"	"Age-related cataract"	"Myeloid leukemia"	1	518	185	703
"J44"	"D46"	"Other chronic obstructive pulmonary disease"	"Myelodysplastic syndromes"	1	458	206	664
"K86"	"J81"	"Other diseases of pancreas"	"Pulmonary edema"	1	140	57	197
"K90"	"M85"	"Intestinal malabsorption"	"Other disorders of bone density and structure"	1	333	205	538
"M05"	"N13"	"Rheumatoid arthritis with rheumatoid factor"	"Obstructive and reflux uropathy"	1	151	66	217
"N20"	"J15"	"Calculus of kidney and ureter"	"Bacterial pneumonia, not elsewhere classified"	1	1508	282	1790
"N63"	"B95"	"Unspecified lump in breast"	"Strep as the cause of diseases classified elsewhere"	1	27	2	29
"L02"	"I44"	"Cutaneous abscess, furuncle and carbuncle"	"Atrioventricular and left bundle-branch block"	1	430	182	612
"O82"	"H26"	"Encounter for cesarean delivery without indication"	"Other cataract"	1	117	0	117
"D30"	"J22"	"Benign neoplasm of urinary organs"	"Unspecified acute lower respiratory infection"	1	146	14	160
"O62"	"F51"	"Abnormalities of forces of labor"	"Sleep disorders not due to a substance or known physiol cond"	1	45	0	45
"O68"	"K30"	"Labor and delivery comp by abnlt of fetal acid-base balance"	"Functional dyspepsia"	1	834	316	1150
"M70"	"J93"	"Soft tissue disorders related to use, overuse and pressure"	"Pneumothorax and air leak"	1	206	84	290
"B27"	"N87"	"Infectious mononucleosis"	"Dysplasia of cervix uteri"	1	79	0	79
"H83"	"A04"	"Other diseases of inner ear"	"Other bacterial intestinal infections"	1	156	0	156
"J32"	"G45"	"Chronic sinusitis"	"Transient cerebral ischemic attacks and related syndromes"	1	229	106	335
"J34"	"L30"	"Other and unspecified disorders of nose and nasal sinuses"	"Other and unspecified dermatitis"	1	287	105	392
"M23"	"E11"	"Internal derangement of knee"	"Type 2 diabetes mellitus"	1	4314	1492	5806
"I20"	"I26"	"Angina pectoris"	"Pulmonary embolism"	1	4763	0	4763
"N81"	"C16"	"Female genital prolapse"	"Malignant neoplasm of stomach"	1	151	0	151
"I63"	"J90"	"Cerebral infarction"	"Pleural effusion, not elsewhere classified"	1	1013	513	1526
"J32"	"H91"	"Chronic sinusitis"	"Other and unspecified hearing loss"	1	699	391	1090
"M20"	"E89"	"Acquired deformities of fingers and toes"	"Postproc endocrine and metabolic comp and disorders, NEC"	1	105	36	141
"J00"	"J11"	"Acute nasopharyngitis [common cold]"	"Influenza due to unidentified influenza virus"	1	478	141	619
"Q21"	"L20"	"Congenital malformations of cardiac septa"	"Atopic dermatitis"	1	180	57	237
"O26"	"I26"	"Maternal care for oth conditions predom related to pregnancy"	"Pulmonary embolism"	1	166	24	190
"K40"	"H33"	"Inguinal hernia"	"Retinal detachments and breaks"	1	591	357	948
"C73"	"D64"	"Malignant neoplasm of thyroid gland"	"Other anemias"	1	105	34	139
"L03"	"A41"	"Cellulitis and acute lymphangitis"	"Other sepsis"	1	1490	336	1826
"N84"	"I26"	"Polyp of female genital tract"	"Pulmonary embolism"	1	208	89	297
"D27"	"E21"	"Benign neoplasm of ovary"	"Hyperparathyroidism and other disorders of parathyroid gland"	1	133	11	144
"E11"	"G47"	"Type 2 diabetes mellitus"	"Sleep disorders"	1	4130	2505	6635
"I83"	"M70"	"Varicose veins of lower extremities"	"Soft tissue disorders related to use, overuse and pressure"	1	1305	582	1887
"J30"	"J47"	"Vasomotor and allergic rhinitis"	"Bronchiectasis"	1	198	63	261
"M77"	"C50"	"Other enthesopathies"	"Malignant neoplasm of breast"	1	493	233	726
"N83"	"J18"	"Noninflammatory disord of ovary, fallop and broad ligament"	"Pneumonia, unspecified organism"	1	1611	652	2263
"O47"	"H91"	"False labor"	"Other and unspecified hearing loss"	1	140	31	171
"O80"	"A86"	"Encounter for full-term uncomplicated delivery"	"Unspecified viral encephalitis"	1	94	22	116
"F17"	"E87"	"Nicotine dependence"	"Other disorders of fluid, electrolyte and acid-base balance"	1	1863	1090	2953
"I35"	"I51"	"Nonrheumatic aortic valve disorders"	"Complications and ill-defined descriptions of heart disease"	1	1495	961	2456
"J42"	"I61"	"Unspecified chronic bronchitis"	"Nontraumatic intracerebral hemorrhage"	1	383	181	564
"D25"	"G93"	"Leiomyoma of uterus"	"Other disorders of brain"	1	93	25	118
"M17"	"H18"	"Osteoarthritis of knee"	"Other disorders of cornea"	1	525	283	808
"I48"	"E53"	"Atrial fibrillation and flutter"	"Deficiency of other B group vitamins"	1	787	579	1366
"D24"	"J18"	"Benign neoplasm of breast"	"Pneumonia, unspecified organism"	1	1362	124	1486
"O00"	"O80"	"Ectopic pregnancy"	"Encounter for full-term uncomplicated delivery"	1	4294	3771	8065
"K44"	"E16"	"Diaphragmatic hernia"	"Other disorders of pancreatic internal secretion"	1	353	191	544
"Q18"	"J96"	"Other congenital malformations of face and neck"	"Respiratory failure, not elsewhere classified"	1	112	19	131
"M23"	"G90"	"Internal derangement of knee"	"Disorders of autonomic nervous system"	1	145	44	189
"N60"	"A49"	"Benign mammary dysplasia"	"Bacterial infection of unspecified site"	1	231	0	231
"M50"	"D50"	"Cervical disc disorders"	"Iron deficiency anemia"	1	362	76	438
"O70"	"H80"	"Perineal laceration during delivery"	"Otosclerosis"	1	232	68	300
"C50"	"E23"	"Malignant neoplasm of breast"	"Hypofunction and other disorders of the pituitary gland"	1	80	20	100
"D17"	"I51"	"Benign lipomatous neoplasm"	"Complications and ill-defined descriptions of heart disease"	1	158	39	197
"K51"	"M07"	"Ulcerative colitis"	"Enteropathic arthropathies"	1	617	72	689
"K61"	"E66"	"Abscess of anal and rectal regions"	"Overweight and obesity"	1	1225	722	1947
"M23"	"M94"	"Internal derangement of knee"	"Other disorders of cartilage"	1	1692	1153	2845
"M62"	"K59"	"Other disorders of muscle"	"Other functional intestinal disorders"	1	7957	0	7957
"M65"	"I42"	"Synovitis and tenosynovitis"	"Cardiomyopathy"	1	290	60	350
"O14"	"M20"	"Pre-eclampsia"	"Acquired deformities of fingers and toes"	1	132	28	160
"O14"	"M70"	"Pre-eclampsia"	"Soft tissue disorders related to use, overuse and pressure"	1	110	19	129
"O68"	"M25"	"Labor and delivery comp by abnlt of fetal acid-base balance"	"Other joint disorder, not elsewhere classified"	1	1205	139	1344
"O80"	"K11"	"Encounter for full-term uncomplicated delivery"	"Diseases of salivary glands"	1	465	74	539
"O82"	"J32"	"Encounter for cesarean delivery without indication"	"Chronic sinusitis"	1	407	96	503
"M17"	"J69"	"Osteoarthritis of knee"	"Pneumonitis due to solids and liquids"	1	471	0	471
"M65"	"N28"	"Synovitis and tenosynovitis"	"Oth disorders of kidney and ureter, not elsewhere classified"	1	198	53	251
"O62"	"M02"	"Abnormalities of forces of labor"	"Postinfective and reactive arthropathies"	1	307	148	455
"M19"	"D61"	"Other and unspecified osteoarthritis"	"Oth aplastic anemias and other bone marrow failure syndromes"	1	83	28	111
"D25"	"F01"	"Leiomyoma of uterus"	"Vascular dementia"	1	25	0	25
"I70"	"N18"	"Atherosclerosis"	"Chronic kidney disease (CKD)"	1	4157	2119	6276
"O24"	"N63"	"Diabetes in pregnancy, childbirth, and the puerperium"	"Unspecified lump in breast"	1	137	57	194
"K51"	"L88"	"Ulcerative colitis"	"Pyoderma gangrenosum"	1	129	22	151
"C50"	"H53"	"Malignant neoplasm of breast"	"Visual disturbances"	1	391	173	564
"N81"	"K22"	"Female genital prolapse"	"Other diseases of esophagus"	1	445	162	607
"O70"	"A40"	"Perineal laceration during delivery"	"Streptococcal sepsis"	1	73	15	88
"M21"	"C34"	"Other acquired deformities of limbs"	"Malignant neoplasm of bronchus and lung"	1	323	8	331
"Q53"	"J34"	"Undescended and ectopic testicle"	"Other and unspecified disorders of nose and nasal sinuses"	1	76	0	76
"G45"	"C15"	"Transient cerebral ischemic attacks and related syndromes"	"Malignant neoplasm of esophagus"	1	268	16	284
"F50"	"O26"	"Eating disorders"	"Maternal care for oth conditions predom related to pregnancy"	1	165	40	205
"O23"	"E11"	"Infections of genitourinary tract in pregnancy"	"Type 2 diabetes mellitus"	1	231	24	255
"E11"	"B95"	"Type 2 diabetes mellitus"	"Strep as the cause of diseases classified elsewhere"	1	337	104	441
"H65"	"O20"	"Nonsuppurative otitis media"	"Hemorrhage in early pregnancy"	1	156	77	233
"M47"	"I48"	"Spondylosis"	"Atrial fibrillation and flutter"	1	3727	1356	5083
"O48"	"K56"	"Late pregnancy"	"Paralytic ileus and intestinal obstruction without hernia"	1	84	0	84
"G40"	"O75"	"Epilepsy and recurrent seizures"	"Oth complications of labor and delivery, NEC"	1	182	23	205
"H35"	"J84"	"Other retinal disorders"	"Other interstitial pulmonary diseases"	1	471	262	733
"M75"	"K82"	"Shoulder lesions"	"Other diseases of gallbladder"	1	121	44	165
"K80"	"M79"	"Cholelithiasis"	"Oth and unsp soft tissue disorders, not elsewhere classified"	1	4184	3420	7604
"N35"	"C15"	"Urethral stricture"	"Malignant neoplasm of esophagus"	1	41	6	47
"L05"	"M81"	"Pilonidal cyst and sinus"	"Osteoporosis without current pathological fracture"	1	80	1	81
"N95"	"I21"	"Menopausal and other perimenopausal disorders"	"Acute myocardial infarction"	1	747	461	1208
"H80"	"M21"	"Otosclerosis"	"Other acquired deformities of limbs"	1	57	11	68
"O30"	"D64"	"Multiple gestation"	"Other anemias"	1	106	11	117
"K35"	"D64"	"Acute appendicitis"	"Other anemias"	1	1081	198	1279
"K35"	"E68"	"Acute appendicitis"	"Sequelae of hyperalimentation"	1	160	1	161
"K09"	"G47"	"Cysts of oral region, not elsewhere classified"	"Sleep disorders"	1	94	21	115
"K44"	"K57"	"Diaphragmatic hernia"	"Diverticular disease of intestine"	1	4011	2780	6791
"M31"	"I51"	"Other necrotizing vasculopathies"	"Complications and ill-defined descriptions of heart disease"	1	147	41	188
"M45"	"D64"	"Ankylosing spondylitis"	"Other anemias"	1	139	34	173
"M18"	"A49"	"Osteoarthritis of first carpometacarpal joint"	"Bacterial infection of unspecified site"	1	208	44	252
"N40"	"F41"	"Benign prostatic hyperplasia"	"Other anxiety disorders"	1	753	58	811
"N92"	"M46"	"Excessive, frequent and irregular menstruation"	"Other inflammatory spondylopathies"	1	270	70	340
"N97"	"G45"	"Female infertility"	"Transient cerebral ischemic attacks and related syndromes"	1	123	0	123
"G40"	"K57"	"Epilepsy and recurrent seizures"	"Diverticular disease of intestine"	1	828	489	1317
"O26"	"M31"	"Maternal care for oth conditions predom related to pregnancy"	"Other necrotizing vasculopathies"	1	28	0	28
"O30"	"E65"	"Multiple gestation"	"Localized adiposity"	1	490	23	513
"M20"	"M79"	"Acquired deformities of fingers and toes"	"Oth and unsp soft tissue disorders, not elsewhere classified"	1	3144	2435	5579
"D41"	"F03"	"Neoplasm of uncertain behavior of urinary organs"	"Unspecified dementia"	1	73	23	96
"I80"	"C80"	"Phlebitis and thrombophlebitis"	"Malignant neoplasm without specification of site"	1	325	139	464
"I10"	"C91"	"Essential (primary) hypertension"	"Lymphoid leukemia"	1	957	627	1584
"G56"	"E34"	"Mononeuropathies of upper limb"	"Other endocrine disorders"	1	156	54	210
"I25"	"J96"	"Chronic ischemic heart disease"	"Respiratory failure, not elsewhere classified"	1	16953	0	16953
"M02"	"C79"	"Postinfective and reactive arthropathies"	"Secondary malignant neoplasm of other and unspecified sites"	1	103	0	103
"M23"	"N18"	"Internal derangement of knee"	"Chronic kidney disease (CKD)"	1	1363	0	1363
"J35"	"O60"	"Chronic diseases of tonsils and adenoids"	"Preterm labor"	1	135	5	140
"C83"	"D63"	"Non-follicular lymphoma"	"Anemia in chronic diseases classified elsewhere"	1	499	200	699
"D25"	"G20"	"Leiomyoma of uterus"	"Parkinson's disease"	1	59	0	59
"D50"	"D63"	"Iron deficiency anemia"	"Anemia in chronic diseases classified elsewhere"	1	1895	987	2882
"H83"	"D22"	"Other diseases of inner ear"	"Melanocytic nevi"	1	111	11	122
"H91"	"K22"	"Other and unspecified hearing loss"	"Other diseases of esophagus"	1	1855	805	2660
"J35"	"G51"	"Chronic diseases of tonsils and adenoids"	"Facial nerve disorders"	1	243	41	284
"N92"	"K81"	"Excessive, frequent and irregular menstruation"	"Cholecystitis"	1	468	133	601
"O82"	"M81"	"Encounter for cesarean delivery without indication"	"Osteoporosis without current pathological fracture"	1	193	0	193
"Q76"	"M79"	"Congenital malformations of spine and bony thorax"	"Oth and unsp soft tissue disorders, not elsewhere classified"	1	194	63	257
"L68"	"E55"	"Hypertrichosis"	"Vitamin D deficiency"	1	82	18	100
"J44"	"F33"	"Other chronic obstructive pulmonary disease"	"Major depressive disorder, recurrent"	1	2587	1718	4305
"N87"	"M18"	"Dysplasia of cervix uteri"	"Osteoarthritis of first carpometacarpal joint"	1	112	0	112
"J34"	"E64"	"Other and unspecified disorders of nose and nasal sinuses"	"Sequelae of malnutrition and other nutritional deficiencies"	1	69	8	77
"D03"	"C34"	"Melanoma in situ"	"Malignant neoplasm of bronchus and lung"	1	58	9	67
"J06"	"H92"	"Acute upper resp infections of multiple and unsp sites"	"Otalgia and effusion of ear"	1	608	293	901
"K35"	"F33"	"Acute appendicitis"	"Major depressive disorder, recurrent"	1	519	139	658
"O70"	"M72"	"Perineal laceration during delivery"	"Fibroblastic disorders"	1	440	0	440
"Q38"	"O80"	"Other congenital malformations of tongue, mouth and pharynx"	"Encounter for full-term uncomplicated delivery"	1	30	1	31
"C44"	"F03"	"Other and unspecified malignant neoplasm of skin"	"Unspecified dementia"	1	1716	543	2259
"M72"	"M10"	"Fibroblastic disorders"	"Gout"	1	403	158	561
"K57"	"I44"	"Diverticular disease of intestine"	"Atrioventricular and left bundle-branch block"	1	1111	676	1787
"O65"	"N71"	"Obstructed labor due to maternal pelvic abnormality"	"Inflammatory disease of uterus, except cervix"	1	415	98	513
"G51"	"I48"	"Facial nerve disorders"	"Atrial fibrillation and flutter"	1	572	258	830
"O32"	"N84"	"Maternal care for malpresentation of fetus"	"Polyp of female genital tract"	1	265	1	266
"O65"	"N12"	"Obstructed labor due to maternal pelvic abnormality"	"Tubulo-interstitial nephritis, not spcf as acute or chronic"	1	31	0	31
"M50"	"K72"	"Cervical disc disorders"	"Hepatic failure, not elsewhere classified"	1	85	2	87
"N97"	"I25"	"Female infertility"	"Chronic ischemic heart disease"	1	64	0	64
"O71"	"A46"	"Other obstetric trauma"	"Erysipelas"	1	92	0	92
"M16"	"H25"	"Osteoarthritis of hip"	"Age-related cataract"	1	17215	0	17215
"O99"	"H02"	"Oth maternal diseases classd elsw but compl preg/chldbrth"	"Other disorders of eyelid"	1	374	88	462
"M16"	"J70"	"Osteoarthritis of hip"	"Respiratory conditions due to other external agents"	1	43	7	50
"G63"	"F05"	"Polyneuropathy in diseases classified elsewhere"	"Delirium due to known physiological condition"	1	90	23	113
"M35"	"O72"	"Other systemic involvement of connective tissue"	"Postpartum hemorrhage"	1	831	161	992
"D27"	"K30"	"Benign neoplasm of ovary"	"Functional dyspepsia"	1	456	308	764
"G35"	"I70"	"Multiple sclerosis"	"Atherosclerosis"	1	186	33	219
"M16"	"L57"	"Osteoarthritis of hip"	"Skin changes due to chronic expsr to nonionizing radiation"	1	657	114	771
"D48"	"E78"	"Neoplasm of uncertain behavior of other and unsp sites"	"Disorders of lipoprotein metabolism and other lipidemias"	1	194	21	215
"O80"	"I78"	"Encounter for full-term uncomplicated delivery"	"Diseases of capillaries"	1	563	29	592
"J35"	"I46"	"Chronic diseases of tonsils and adenoids"	"Cardiac arrest"	1	86	0	86
"K30"	"C20"	"Functional dyspepsia"	"Malignant neoplasm of rectum"	1	244	102	346
"O03"	"O48"	"Spontaneous abortion"	"Late pregnancy"	1	3164	1972	5136
"O42"	"N18"	"Premature rupture of membranes"	"Chronic kidney disease (CKD)"	1	39	0	39
"O66"	"M76"	"Other obstructed labor"	"Enthesopathies, lower limb, excluding foot"	1	65	9	74
"O44"	"O72"	"Placenta previa"	"Postpartum hemorrhage"	1	2336	1493	3829
"M48"	"J95"	"Other spondylopathies"	"Intraop and postproc comp and disorders of resp sys, NEC"	1	149	34	183
"I25"	"E50"	"Chronic ischemic heart disease"	"Vitamin A deficiency"	1	599	199	798
"O36"	"N64"	"Maternal care for other fetal problems"	"Other disorders of breast"	1	704	346	1050
"C61"	"I61"	"Malignant neoplasm of prostate"	"Nontraumatic intracerebral hemorrhage"	1	439	244	683
"M67"	"H25"	"Other disorders of synovium and tendon"	"Age-related cataract"	1	1895	547	2442
"O20"	"I25"	"Hemorrhage in early pregnancy"	"Chronic ischemic heart disease"	1	91	0	91
"M12"	"M05"	"Other and unspecified arthropathy"	"Rheumatoid arthritis with rheumatoid factor"	1	253	85	338
"C19"	"N39"	"Malignant neoplasm of rectosigmoid junction"	"Other disorders of urinary system"	1	74	5	79
"J42"	"I51"	"Unspecified chronic bronchitis"	"Complications and ill-defined descriptions of heart disease"	1	305	145	450
"D25"	"M46"	"Leiomyoma of uterus"	"Other inflammatory spondylopathies"	1	122	24	146
"C16"	"C77"	"Malignant neoplasm of stomach"	"Secondary and unspecified malignant neoplasm of lymph nodes"	1	560	288	848
"E78"	"I71"	"Disorders of lipoprotein metabolism and other lipidemias"	"Aortic aneurysm and dissection"	1	3396	1614	5010
"M32"	"J18"	"Systemic lupus erythematosus (SLE)"	"Pneumonia, unspecified organism"	1	401	190	591
"I20"	"G95"	"Angina pectoris"	"Other and unspecified diseases of spinal cord"	1	704	17	721
"M42"	"M23"	"Spinal osteochondrosis"	"Internal derangement of knee"	1	287	73	360
"M47"	"C78"	"Spondylosis"	"Secondary malignant neoplasm of resp and digestive organs"	1	1014	12	1026
"O20"	"M17"	"Hemorrhage in early pregnancy"	"Osteoarthritis of knee"	1	307	0	307
"O23"	"E78"	"Infections of genitourinary tract in pregnancy"	"Disorders of lipoprotein metabolism and other lipidemias"	1	113	0	113
"M50"	"A41"	"Cervical disc disorders"	"Other sepsis"	1	920	0	920
"N88"	"J18"	"Other noninflammatory disorders of cervix uteri"	"Pneumonia, unspecified organism"	1	99	4	103
"M70"	"D12"	"Soft tissue disorders related to use, overuse and pressure"	"Benign neoplasm of colon, rectum, anus and anal canal"	1	1558	539	2097
"K76"	"E13"	"Other diseases of liver"	"Other specified diabetes mellitus"	1	156	77	233
"O68"	"H93"	"Labor and delivery comp by abnlt of fetal acid-base balance"	"Other disorders of ear, not elsewhere classified"	1	377	19	396
"I47"	"D35"	"Paroxysmal tachycardia"	"Benign neoplasm of other and unspecified endocrine glands"	1	137	49	186
"A87"	"O72"	"Viral meningitis"	"Postpartum hemorrhage"	1	138	51	189
"H66"	"A63"	"Suppurative and unspecified otitis media"	"Oth predominantly sexually transmitted diseases, NEC"	1	107	22	129
"O20"	"K20"	"Hemorrhage in early pregnancy"	"Esophagitis"	1	121	8	129
"O66"	"D64"	"Other obstructed labor"	"Other anemias"	1	91	0	91
"H36"	"J18"	"Retinal disorders in diseases classified elsewhere"	"Pneumonia, unspecified organism"	1	2752	1266	4018
"I70"	"B95"	"Atherosclerosis"	"Strep as the cause of diseases classified elsewhere"	1	208	53	261
"Q25"	"A09"	"Congenital malformations of great arteries"	"Infectious gastroenteritis and colitis, unspecified"	1	678	157	835
"H65"	"O90"	"Nonsuppurative otitis media"	"Complications of the puerperium, not elsewhere classified"	1	38	5	43
"H35"	"E63"	"Other retinal disorders"	"Other nutritional deficiencies"	1	102	15	117
"M51"	"F22"	"Thoracic, thoracolum, and lumbosacral intvrt disc disorders"	"Delusional disorders"	1	71	11	82
"K21"	"D69"	"Gastro-esophageal reflux disease"	"Purpura and other hemorrhagic conditions"	1	346	169	515
"K61"	"I21"	"Abscess of anal and rectal regions"	"Acute myocardial infarction"	1	510	231	741
"E66"	"I27"	"Overweight and obesity"	"Other pulmonary heart diseases"	1	890	463	1353
"M20"	"J44"	"Acquired deformities of fingers and toes"	"Other chronic obstructive pulmonary disease"	1	1851	493	2344
"N81"	"I46"	"Female genital prolapse"	"Cardiac arrest"	1	349	0	349
"G56"	"C15"	"Mononeuropathies of upper limb"	"Malignant neoplasm of esophagus"	1	192	1	193
"H33"	"K59"	"Retinal detachments and breaks"	"Other functional intestinal disorders"	1	893	174	1067
"J36"	"A63"	"Peritonsillar abscess"	"Oth predominantly sexually transmitted diseases, NEC"	1	221	70	291
"G56"	"I21"	"Mononeuropathies of upper limb"	"Acute myocardial infarction"	1	1909	1193	3102
"H80"	"I25"	"Otosclerosis"	"Chronic ischemic heart disease"	1	754	71	825
"L02"	"M17"	"Cutaneous abscess, furuncle and carbuncle"	"Osteoarthritis of knee"	1	1621	1337	2958
"O80"	"K71"	"Encounter for full-term uncomplicated delivery"	"Toxic liver disease"	1	104	16	120
"D24"	"M25"	"Benign neoplasm of breast"	"Other joint disorder, not elsewhere classified"	1	628	181	809
"M02"	"I21"	"Postinfective and reactive arthropathies"	"Acute myocardial infarction"	1	269	135	404
"M35"	"K65"	"Other systemic involvement of connective tissue"	"Peritonitis"	1	244	119	363
"C54"	"L89"	"Malignant neoplasm of corpus uteri"	"Pressure ulcer"	1	95	3	98
"G35"	"C50"	"Multiple sclerosis"	"Malignant neoplasm of breast"	1	149	20	169
"I83"	"D14"	"Varicose veins of lower extremities"	"Benign neoplasm of middle ear and respiratory system"	1	210	109	319
"N70"	"J18"	"Salpingitis and oophoritis"	"Pneumonia, unspecified organism"	1	545	8	553
"N70"	"M51"	"Salpingitis and oophoritis"	"Thoracic, thoracolum, and lumbosacral intvrt disc disorders"	1	610	20	630
"N94"	"M23"	"Pain and oth cond assoc w fem gntl org and menstrual cycle"	"Internal derangement of knee"	1	1240	942	2182
"K29"	"G31"	"Gastritis and duodenitis"	"Oth degenerative diseases of nervous system, NEC"	1	374	111	485
"K51"	"K59"	"Ulcerative colitis"	"Other functional intestinal disorders"	1	2115	1710	3825
"A15"	"G47"	"Respiratory tuberculosis"	"Sleep disorders"	1	43	0	43
"O70"	"G47"	"Perineal laceration during delivery"	"Sleep disorders"	1	543	0	543
"G43"	"M10"	"Migraine"	"Gout"	1	111	45	156
"I83"	"M72"	"Varicose veins of lower extremities"	"Fibroblastic disorders"	1	884	450	1334
"K40"	"G95"	"Inguinal hernia"	"Other and unspecified diseases of spinal cord"	1	488	6	494
"M06"	"B37"	"Other rheumatoid arthritis"	"Candidiasis"	1	368	112	480
"M31"	"M81"	"Other necrotizing vasculopathies"	"Osteoporosis without current pathological fracture"	1	1913	800	2713
"H66"	"K85"	"Suppurative and unspecified otitis media"	"Acute pancreatitis"	1	87	24	111
"I20"	"F17"	"Angina pectoris"	"Nicotine dependence"	1	2657	919	3576
"D17"	"E55"	"Benign lipomatous neoplasm"	"Vitamin D deficiency"	1	145	25	170
"N46"	"K70"	"Male infertility"	"Alcoholic liver disease"	1	34	3	37
"A63"	"I80"	"Oth predominantly sexually transmitted diseases, NEC"	"Phlebitis and thrombophlebitis"	1	234	53	287
"M50"	"D46"	"Cervical disc disorders"	"Myelodysplastic syndromes"	1	49	0	49
"M76"	"C77"	"Enthesopathies, lower limb, excluding foot"	"Secondary and unspecified malignant neoplasm of lymph nodes"	1	141	19	160
"N80"	"E21"	"Endometriosis"	"Hyperparathyroidism and other disorders of parathyroid gland"	1	58	0	58
"Q85"	"H57"	"Phakomatoses, not elsewhere classified"	"Other disorders of eye and adnexa"	1	187	81	268
"H25"	"C38"	"Age-related cataract"	"Malignant neoplasm of heart, mediastinum and pleura"	1	130	29	159
"N87"	"K56"	"Dysplasia of cervix uteri"	"Paralytic ileus and intestinal obstruction without hernia"	1	229	18	247
